,birthYear,Counts
0,1908,1
1,1912,1
2,1918,1
3,1920,1
4,1922,1
5,1923,1
6,1924,1
7,1925,2
8,1925,2
9,1926,1
10,1928,1
11,1930,4
12,1930,4
13,1930,4
14,1930,4
15,1931,2
16,1931,2
17,1933,3
18,1933,3
19,1933,3
20,1935,1
21,1936,3
22,1936,3
23,1936,3
24,1937,2
25,1937,2
26,1938,1
27,1939,2
28,1939,2
29,1940,3
30,1940,3
31,1940,3
32,1941,5
33,1941,5
34,1941,5
35,1941,5
36,1941,5
37,1942,4
38,1942,4
39,1942,4
40,1942,4
41,1943,7
42,1943,7
43,1943,7
44,1943,7
45,1943,7
46,1943,7
47,1943,7
48,1944,4
49,1944,4
50,1944,4
51,1944,4
52,1945,2
53,1945,2
54,1946,6
55,1946,6
56,1946,6
57,1946,6
58,1946,6
59,1946,6
60,1947,5
61,1947,5
62,1947,5
63,1947,5
64,1947,5
65,1948,3
66,1948,3
67,1948,3
68,1949,2
69,1949,2
70,1950,1
71,1951,6
72,1951,6
73,1951,6
74,1951,6
75,1951,6
76,1951,6
77,1952,6
78,1952,6
79,1952,6
80,1952,6
81,1952,6
82,1952,6
83,1953,6
84,1953,6
85,1953,6
86,1953,6
87,1953,6
88,1953,6
89,1954,11
90,1954,11
91,1954,11
92,1954,11
93,1954,11
94,1954,11
95,1954,11
96,1954,11
97,1954,11
98,1954,11
99,1954,11
100,1955,8
101,1955,8
102,1955,8
103,1955,8
104,1955,8
105,1955,8
106,1955,8
107,1955,8
108,1956,8
109,1956,8
110,1956,8
111,1956,8
112,1956,8
113,1956,8
114,1956,8
115,1956,8
116,1957,9
117,1957,9
118,1957,9
119,1957,9
120,1957,9
121,1957,9
122,1957,9
123,1957,9
124,1957,9
125,1958,5
126,1958,5
127,1958,5
128,1958,5
129,1958,5
130,1959,9
131,1959,9
132,1959,9
133,1959,9
134,1959,9
135,1959,9
136,1959,9
137,1959,9
138,1959,9
139,1960,17
140,1960,17
141,1960,17
142,1960,17
143,1960,17
144,1960,17
145,1960,17
146,1960,17
147,1960,17
148,1960,17
149,1960,17
150,1960,17
151,1960,17
152,1960,17
153,1960,17
154,1960,17
155,1960,17
156,1961,12
157,1961,12
158,1961,12
159,1961,12
160,1961,12
161,1961,12
162,1961,12
163,1961,12
164,1961,12
165,1961,12
166,1961,12
167,1961,12
168,1962,8
169,1962,8
170,1962,8
171,1962,8
172,1962,8
173,1962,8
174,1962,8
175,1962,8
176,1963,14
177,1963,14
178,1963,14
179,1963,14
180,1963,14
181,1963,14
182,1963,14
183,1963,14
184,1963,14
185,1963,14
186,1963,14
187,1963,14
188,1963,14
189,1963,14
190,1964,11
191,1964,11
192,1964,11
193,1964,11
194,1964,11
195,1964,11
196,1964,11
197,1964,11
198,1964,11
199,1964,11
200,1964,11
201,1965,9
202,1965,9
203,1965,9
204,1965,9
205,1965,9
206,1965,9
207,1965,9
208,1965,9
209,1965,9
210,1966,9
211,1966,9
212,1966,9
213,1966,9
214,1966,9
215,1966,9
216,1966,9
217,1966,9
218,1966,9
219,1967,8
220,1967,8
221,1967,8
222,1967,8
223,1967,8
224,1967,8
225,1967,8
226,1967,8
227,1968,9
228,1968,9
229,1968,9
230,1968,9
231,1968,9
232,1968,9
233,1968,9
234,1968,9
235,1968,9
236,1969,18
237,1969,18
238,1969,18
239,1969,18
240,1969,18
241,1969,18
242,1969,18
243,1969,18
244,1969,18
245,1969,18
246,1969,18
247,1969,18
248,1969,18
249,1969,18
250,1969,18
251,1969,18
252,1969,18
253,1969,18
254,1970,10
255,1970,10
256,1970,10
257,1970,10
258,1970,10
259,1970,10
260,1970,10
261,1970,10
262,1970,10
263,1970,10
264,1971,7
265,1971,7
266,1971,7
267,1971,7
268,1971,7
269,1971,7
270,1971,7
271,1972,13
272,1972,13
273,1972,13
274,1972,13
275,1972,13
276,1972,13
277,1972,13
278,1972,13
279,1972,13
280,1972,13
281,1972,13
282,1972,13
283,1972,13
284,1973,10
285,1973,10
286,1973,10
287,1973,10
288,1973,10
289,1973,10
290,1973,10
291,1973,10
292,1973,10
293,1973,10
294,1974,5
295,1974,5
296,1974,5
297,1974,5
298,1974,5
299,1975,8
300,1975,8
301,1975,8
302,1975,8
303,1975,8
304,1975,8
305,1975,8
306,1975,8
307,1976,7
308,1976,7
309,1976,7
310,1976,7
311,1976,7
312,1976,7
313,1976,7
314,1977,5
315,1977,5
316,1977,5
317,1977,5
318,1977,5
319,1978,2
320,1978,2
321,1979,2
322,1979,2
323,1981,1
324,1982,1
325,1983,3
326,1983,3
327,1983,3
328,1985,2
329,1985,2
330,1986,1
331,1988,1
332,1989,1
